model,phase,epoch,train_loss,valid_loss,accuracy,f1_score,precision_score,recall_score,ckpt,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_macro,classification_report
resnet34,finetune,27,0.06382445991039276,0.1320229321718216,0.9725979566574097,0.9596160941471894,0.9649688888416966,0.9545441293275158,,,,,,,
resnet34,finetune,28,0.0508330799639225,0.12775808572769165,0.9734761714935303,0.9614136887951231,0.9648340912633723,0.9580895869649874,,,,,,,
resnet34,finetune,29,0.05382165685296059,0.1282985359430313,0.972773551940918,0.9587145973864502,0.9601626148954757,0.9573763739573298,,,,,,,
resnet34,finetune,30,0.050221748650074005,0.12639060616493225,0.9743544459342957,0.9598451284391546,0.962324233232718,0.9578225829639226,,,,,,,
resnet34,finetune,31,0.032506152987480164,0.133094921708107,0.9738274812698364,0.9587439208814695,0.9579150656207329,0.959816075610729,,,,,,,
resnet34,finetune,32,0.030159084126353264,0.13028474152088165,0.975057065486908,0.9634758829235839,0.9698693069513455,0.957309169131247,,,,,,,
resnet34,finetune,33,0.03462345525622368,0.1257740557193756,0.975057065486908,0.9603108312566148,0.9615881634350554,0.9592075334658814,,,,,,,
resnet34,finetune,34,0.02839764580130577,0.12206755578517914,0.9745301008224487,0.9603135560203994,0.9626258958889258,0.9581802834308195,,,,,,,
resnet34,finetune,35,0.030362164601683617,0.122833751142025,0.9743544459342957,0.9605056303518612,0.9610337041248032,0.9600975296118925,,,,,,,
resnet34,finetune,36,0.027207644656300545,0.12142638117074966,0.9741787910461426,0.9602065003784501,0.9615304847236859,0.9589650640944442,,,,,,,
resnet34,finetune,37,0.018043015152215958,0.1193975955247879,0.972949206829071,0.9576949123304479,0.9582370346826915,0.9571993438555502,,,,,,,
resnet34,finetune,38,0.013615990057587624,0.12454409897327423,0.975057065486908,0.9614025866302292,0.9685287113542363,0.9546071065079786,,,,,,,
resnet34,finetune,39,0.01026539970189333,0.11713345348834991,0.9754083752632141,0.9624374183750749,0.9632730384808739,0.9616491690978552,,,,,,,
resnet34,finetune,40,0.017482120543718338,0.13176299631595612,0.9741787910461426,0.9606593104458545,0.9666020113146253,0.955022709229611,,,,,,,
resnet34,finetune,41,0.009839623235166073,0.11887822300195694,0.975232720375061,0.9627009987044689,0.9652215306250422,0.9602261651768869,,,,,,,
resnet34,finetune,42,0.010351305827498436,0.1223616823554039,0.9740031361579895,0.9607754667755692,0.963450366093584,0.9581926921166316,,,,,,,
resnet34,finetune,43,0.009795363061130047,0.12004674226045609,0.9743544459342957,0.9611951991620865,0.9620227934681249,0.9604849121371684,,,,,,,
resnet34,finetune,44,0.007259551901370287,0.12060970067977905,0.9740031361579895,0.9609348477760988,0.966019185519442,0.9560513923322601,,,,,,,
resnet34,finetune,45,0.012785151600837708,0.1254829615354538,0.9748814105987549,0.9623450122756072,0.9687869749340232,0.9561568547780727,,,,,,,
resnet34,finetune,46,0.006046363618224859,0.12075261771678925,0.975057065486908,0.9621027972376194,0.9672484621125985,0.9571001712340614,,,,,,,
resnet34,finetune,47,0.007580586243420839,0.12130872905254364,0.9745301008224487,0.9615433590123516,0.9659201060526893,0.9572859602334948,,,,,,,
resnet34,finetune,48,0.00766112981364131,0.12066806107759476,0.975232720375061,0.9627663425416643,0.9679922314276002,0.9577099273316223,,,,,,,
resnet34,finetune,49,0.010496899485588074,0.12004783004522324,0.9741787910461426,0.96112009541008,0.9663340942402996,0.956107825740838,,,,,,,
resnet34,finetune,best_on_test,,,,,,,resnet34_finetune,0.9712626995645863,0.9628304882717222,0.9477319301216433,0.9550155473715602,0.9944780416694574,"                    precision    recall  f1-score   support

       Atelectasis       0.93      0.87      0.90       281
          Fibrosis       0.96      0.95      0.96       196
            Normal       0.98      0.99      0.98      2170
Pleural_Thickening       0.96      0.96      0.96       302
         Pneumonia       0.98      0.97      0.97       496

          accuracy                           0.97      3445
         macro avg       0.96      0.95      0.96      3445
      weighted avg       0.97      0.97      0.97      3445
"
